,Lithuanian,Spanish
0,ir,y
1,aš,Yo
2,tai,este
3,kad,eso
4,tu,tú
5,ne,No
6,taip,Sí
7,jis,él
8,ką,qué
9,čia,aquí
10,į,a
11,kaip,cómo
12,su,con
13,o,Vaya
14,man,a mi
15,kas,qué
16,gerai,OK
17,mano,mi
18,bet,pero
19,iš,de
20,mes,nosotros
21,tik,solo
22,ji,ella
23,yra,es
24,jei,si
25,jie,ellos
26,tavo,tuyo
27,buvo,era
28,savo,propio
29,kur,dónde
30,kai,cuando
31,dar,todavía
32,mane,a mí
33,jūs,tú
34,apie,acerca de
35,viskas,eso es todo
36,jį,a él
37,tave,tú
38,jo,su
39,jau,ya
40,labai,muy
41,to,eso
42,reikia,necesidad
43,už,para
44,turi,tener
45,kodėl,por qué
46,po,después
47,nieko,nada
48,dėl,porque
49,mūsų,nuestro
50,per,a través de
51,gali,poder
52,na,Bueno
53,jūsų,su
54,tikrai,en realidad
55,ačiū,gracias
56,nori,desear
57,ko,qué
58,turiu,tengo
59,bus,será
60,jos,su
61,štai,aquí
62,manęs,a mí
63,ją,su
64,mums,para nosotros
65,jums,A usted
66,nes,porque
67,visi,todos
68,noriu,deseo
69,juk,después de todo
70,žinai,sabes
71,pone,Señor
72,ei,ey
73,tavęs,tú
74,žinau,Sé
75,tą,eso
76,nagi,vamos
77,nėra,no hay
78,ant,en
79,daug,mucho
80,viską,todo
81,tas,eso
82,tada,entonces
83,prie,a
84,labas,Hola
85,jų,su
86,nežinau,no sé
87,prašau,por favor
88,juos,a ellos
